Date,RealExit,Units
2015-01-01,126172139,kWh/d
2015-01-02,126172139,kWh/d
2015-01-03,126172139,kWh/d
2015-01-04,126172139,kWh/d
2015-01-05,126172139,kWh/d
2015-01-06,126172139,kWh/d
2015-01-07,126172139,kWh/d
2015-01-08,126172139,kWh/d
2015-01-09,126172139,kWh/d
2015-01-10,126172139,kWh/d
2015-01-11,126172139,kWh/d
2015-01-12,126172139,kWh/d
2015-01-13,126172139,kWh/d
2015-01-14,126172139,kWh/d
2015-01-15,126172139,kWh/d
2015-01-16,126172139,kWh/d
2015-01-17,126172139,kWh/d
2015-01-18,126172139,kWh/d
2015-01-19,126172139,kWh/d
2015-01-20,126172139,kWh/d
2015-01-21,126172139,kWh/d
2015-01-22,126172139,kWh/d
2015-01-23,126172139,kWh/d
2015-01-24,126172139,kWh/d
2015-01-25,126172139,kWh/d
2015-01-26,126172139,kWh/d
2015-01-27,126172139,kWh/d
2015-01-28,126172139,kWh/d
2015-01-29,126172139,kWh/d
2015-01-30,126172139,kWh/d
2015-01-31,126172139,kWh/d
2015-02-01,126172139,kWh/d
2015-02-02,126172139,kWh/d
2015-02-03,126172139,kWh/d
2015-02-04,126172139,kWh/d
2015-02-05,126172139,kWh/d
2015-02-06,126172139,kWh/d
2015-02-07,126172139,kWh/d
2015-02-08,126172139,kWh/d
2015-02-09,126172139,kWh/d
2015-02-10,126172139,kWh/d
2015-02-11,126172139,kWh/d
2015-02-12,126172139,kWh/d
2015-02-13,126172139,kWh/d
2015-02-14,126172139,kWh/d
2015-02-15,126172139,kWh/d
2015-02-16,126172139,kWh/d
2015-02-17,126172139,kWh/d
2015-02-18,126172139,kWh/d
2015-02-19,126172139,kWh/d
2015-02-20,126172139,kWh/d
2015-02-21,126172139,kWh/d
2015-02-22,126172139,kWh/d
2015-02-23,126172139,kWh/d
2015-02-24,126172139,kWh/d
2015-02-25,126172139,kWh/d
2015-02-26,126172139,kWh/d
2015-02-27,126172139,kWh/d
2015-02-28,126172139,kWh/d
2015-03-01,81416320,kWh/d
2015-03-02,81416320,kWh/d
2015-03-03,81416320,kWh/d
2015-03-04,81416320,kWh/d
2015-03-05,81416320,kWh/d
2015-03-06,81416320,kWh/d
2015-03-07,81416320,kWh/d
2015-03-08,81416320,kWh/d
2015-03-09,81416320,kWh/d
2015-03-10,81416320,kWh/d
2015-03-11,81416320,kWh/d
2015-03-12,81416320,kWh/d
2015-03-13,81416320,kWh/d
2015-03-14,81416320,kWh/d
2015-03-15,81416320,kWh/d
2015-03-16,81416320,kWh/d
2015-03-17,81416320,kWh/d
2015-03-18,81416320,kWh/d
2015-03-19,81416320,kWh/d
2015-03-20,81416320,kWh/d
2015-03-21,81416320,kWh/d
2015-03-22,81416320,kWh/d
2015-03-23,81416320,kWh/d
2015-03-24,81416320,kWh/d
2015-03-25,81416320,kWh/d
2015-03-26,81416320,kWh/d
2015-03-27,81416320,kWh/d
2015-03-28,81416320,kWh/d
2015-03-29,81416320,kWh/d
2015-03-30,81416320,kWh/d
2015-03-31,81416320,kWh/d
2015-04-01,81416320,kWh/d
2015-04-02,81416320,kWh/d
2015-04-03,81416320,kWh/d
2015-04-04,81416320,kWh/d
2015-04-05,81416320,kWh/d
2015-04-06,81416320,kWh/d
2015-04-07,81416320,kWh/d
2015-04-08,81416320,kWh/d
2015-04-09,81416320,kWh/d
2015-04-10,81416320,kWh/d
2015-04-11,81416320,kWh/d
2015-04-12,81416320,kWh/d
2015-04-13,81416320,kWh/d
2015-04-14,81416320,kWh/d
2015-04-15,81416320,kWh/d
2015-04-16,81416320,kWh/d
2015-04-17,81416320,kWh/d
2015-04-18,81416320,kWh/d
2015-04-19,81416320,kWh/d
2015-04-20,81416320,kWh/d
2015-04-21,81416320,kWh/d
2015-04-22,81416320,kWh/d
2015-04-23,81416320,kWh/d
2015-04-24,81416320,kWh/d
2015-04-25,81416320,kWh/d
2015-04-26,81416320,kWh/d
2015-04-27,81416320,kWh/d
2015-04-28,81416320,kWh/d
2015-04-29,81416320,kWh/d
2015-04-30,81416320,kWh/d
2015-05-01,81416320,kWh/d
2015-05-02,81416320,kWh/d
2015-05-03,81416320,kWh/d
2015-05-04,81416320,kWh/d
2015-05-05,81416320,kWh/d
2015-05-06,81416320,kWh/d
2015-05-07,81416320,kWh/d
2015-05-08,81416320,kWh/d
2015-05-09,81416320,kWh/d
2015-05-10,81416320,kWh/d
2015-05-11,81416320,kWh/d
2015-05-12,81416320,kWh/d
2015-05-13,81416320,kWh/d
2015-05-14,81416320,kWh/d
2015-05-15,81416320,kWh/d
2015-05-16,81416320,kWh/d
2015-05-17,81416320,kWh/d
2015-05-18,81416320,kWh/d
2015-05-19,81416320,kWh/d
2015-05-20,81416320,kWh/d
2015-05-21,81416320,kWh/d
2015-05-22,81416320,kWh/d
2015-05-23,81416320,kWh/d
2015-05-24,81416320,kWh/d
2015-05-25,81416320,kWh/d
2015-05-26,81416320,kWh/d
2015-05-27,81416320,kWh/d
2015-05-28,81416320,kWh/d
2015-05-29,81416320,kWh/d
2015-05-30,81416320,kWh/d
2015-05-31,81416320,kWh/d
2015-06-01,81416320,kWh/d
2015-06-02,81416320,kWh/d
2015-06-03,81416320,kWh/d
2015-06-04,81416320,kWh/d
2015-06-05,81416320,kWh/d
2015-06-06,81416320,kWh/d
2015-06-07,81416320,kWh/d
2015-06-08,81416320,kWh/d
2015-06-09,81416320,kWh/d
2015-06-10,81416320,kWh/d
2015-06-11,81416320,kWh/d
2015-06-12,81416320,kWh/d
2015-06-13,81416320,kWh/d
2015-06-14,81416320,kWh/d
2015-06-15,81416320,kWh/d
2015-06-16,81416320,kWh/d
2015-06-17,81416320,kWh/d
2015-06-18,81416320,kWh/d
2015-06-19,81416320,kWh/d
2015-06-20,81416320,kWh/d
2015-06-21,81416320,kWh/d
2015-06-22,81416320,kWh/d
2015-06-23,81416320,kWh/d
2015-06-24,81416320,kWh/d
2015-06-25,81416320,kWh/d
2015-06-26,81416320,kWh/d
2015-06-27,81416320,kWh/d
2015-06-28,81416320,kWh/d
2015-06-29,81416320,kWh/d
2015-06-30,81416320,kWh/d
2015-07-01,112616320,kWh/d
2015-07-02,112616320,kWh/d
2015-07-03,112616320,kWh/d
2015-07-04,112616320,kWh/d
2015-07-05,112616320,kWh/d
2015-07-06,112616320,kWh/d
2015-07-07,112616320,kWh/d
2015-07-08,112616320,kWh/d
2015-07-09,112616320,kWh/d
2015-07-10,112616320,kWh/d
2015-07-11,112616320,kWh/d
2015-07-12,112616320,kWh/d
2015-07-13,112616320,kWh/d
2015-07-14,112616320,kWh/d
2015-07-15,112616320,kWh/d
2015-07-16,112616320,kWh/d
2015-07-17,112616320,kWh/d
2015-07-18,112616320,kWh/d
2015-07-19,112616320,kWh/d
2015-07-20,112616320,kWh/d
2015-07-21,112616320,kWh/d
2015-07-22,112616320,kWh/d
2015-07-23,112616320,kWh/d
2015-07-24,112616320,kWh/d
2015-07-25,112616320,kWh/d
2015-07-26,112616320,kWh/d
2015-07-27,112616320,kWh/d
2015-07-28,112616320,kWh/d
2015-07-29,112616320,kWh/d
2015-07-30,112616320,kWh/d
2015-07-31,112616320,kWh/d
2015-08-01,100616320,kWh/d
2015-08-02,100616320,kWh/d
2015-08-03,100616320,kWh/d
2015-08-04,100616320,kWh/d
2015-08-05,100616320,kWh/d
2015-08-06,100616320,kWh/d
2015-08-07,100616320,kWh/d
2015-08-08,100616320,kWh/d
2015-08-09,100616320,kWh/d
2015-08-10,100616320,kWh/d
2015-08-11,100616320,kWh/d
2015-08-12,100616320,kWh/d
2015-08-13,100616320,kWh/d
2015-08-14,100616320,kWh/d
2015-08-15,100616320,kWh/d
2015-08-16,100616320,kWh/d
2015-08-17,100616320,kWh/d
2015-08-18,100616320,kWh/d
2015-08-19,100616320,kWh/d
2015-08-20,100616320,kWh/d
2015-08-21,100616320,kWh/d
2015-08-22,100616320,kWh/d
2015-08-23,100616320,kWh/d
2015-08-24,100616320,kWh/d
2015-08-25,100616320,kWh/d
2015-08-26,100616320,kWh/d
2015-08-27,100616320,kWh/d
2015-08-28,100616320,kWh/d
2015-08-29,100616320,kWh/d
2015-08-30,100616320,kWh/d
2015-08-31,100616320,kWh/d
2015-09-01,103196320,kWh/d
2015-09-02,103196320,kWh/d
2015-09-03,103196320,kWh/d
2015-09-04,103196320,kWh/d
2015-09-05,103196320,kWh/d
2015-09-06,103196320,kWh/d
2015-09-07,103196320,kWh/d
2015-09-08,103196320,kWh/d
2015-09-09,103196320,kWh/d
2015-09-10,103196320,kWh/d
2015-09-11,103196320,kWh/d
2015-09-12,103196320,kWh/d
2015-09-13,103196320,kWh/d
2015-09-14,103196320,kWh/d
2015-09-15,103196320,kWh/d
2015-09-16,103196320,kWh/d
2015-09-17,103196320,kWh/d
2015-09-18,103196320,kWh/d
2015-09-19,103196320,kWh/d
2015-09-20,103196320,kWh/d
2015-09-21,103196320,kWh/d
2015-09-22,103196320,kWh/d
2015-09-23,103196320,kWh/d
2015-09-24,103196320,kWh/d
2015-09-25,103196320,kWh/d
2015-09-26,103196320,kWh/d
2015-09-27,103196320,kWh/d
2015-09-28,103196320,kWh/d
2015-09-29,103196320,kWh/d
2015-09-30,103196320,kWh/d
2015-10-01,81416320,kWh/d
2015-10-02,81440256,kWh/d
2015-10-03,81416320,kWh/d
2015-10-04,81416320,kWh/d
2015-10-05,81416320,kWh/d
2015-10-06,81416320,kWh/d
2015-10-07,81416320,kWh/d
2015-10-08,81416320,kWh/d
2015-10-09,81416320,kWh/d
2015-10-10,81416320,kWh/d
2015-10-11,81416320,kWh/d
2015-10-12,81416320,kWh/d
2015-10-13,81416320,kWh/d
2015-10-14,81416320,kWh/d
2015-10-15,81416320,kWh/d
2015-10-16,81416320,kWh/d
2015-10-17,81416320,kWh/d
2015-10-18,81416320,kWh/d
2015-10-19,81416320,kWh/d
2015-10-20,81416320,kWh/d
2015-10-21,81416320,kWh/d
2015-10-22,81416320,kWh/d
2015-10-23,81416320,kWh/d
2015-10-24,81416320,kWh/d
2015-10-25,81416320,kWh/d
2015-10-26,81416320,kWh/d
2015-10-27,81416320,kWh/d
2015-10-28,81416320,kWh/d
2015-10-29,81416320,kWh/d
2015-10-30,81416320,kWh/d
2015-10-31,81416320,kWh/d
2015-11-01,81416320,kWh/d
2015-11-02,81416320,kWh/d
2015-11-03,81416320,kWh/d
2015-11-04,81416320,kWh/d
2015-11-05,81416320,kWh/d
2015-11-06,81416320,kWh/d
2015-11-07,81416320,kWh/d
2015-11-08,81416320,kWh/d
2015-11-09,81416320,kWh/d
2015-11-10,81416320,kWh/d
2015-11-11,81416320,kWh/d
2015-11-12,81416320,kWh/d
2015-11-13,81416320,kWh/d
2015-11-14,81416320,kWh/d
2015-11-15,81416320,kWh/d
2015-11-16,81416320,kWh/d
2015-11-17,81416320,kWh/d
2015-11-18,81416320,kWh/d
2015-11-19,81416320,kWh/d
2015-11-20,81416320,kWh/d
2015-11-21,81416320,kWh/d
2015-11-22,81416320,kWh/d
2015-11-23,81416320,kWh/d
2015-11-24,81416320,kWh/d
2015-11-25,81416320,kWh/d
2015-11-26,81416320,kWh/d
2015-11-27,81416320,kWh/d
2015-11-28,81416320,kWh/d
2015-11-29,81416320,kWh/d
2015-11-30,81416320,kWh/d
2015-12-01,126100144,kWh/d
2015-12-02,126100144,kWh/d
2015-12-03,126100144,kWh/d
2015-12-04,126100144,kWh/d
2015-12-05,126100144,kWh/d
2015-12-06,126100144,kWh/d
2015-12-07,126100144,kWh/d
2015-12-08,126100144,kWh/d
2015-12-09,126100144,kWh/d
2015-12-10,126100144,kWh/d
2015-12-11,126100144,kWh/d
2015-12-12,126100144,kWh/d
2015-12-13,126100144,kWh/d
2015-12-14,126100144,kWh/d
2015-12-15,126100144,kWh/d
2015-12-16,126100144,kWh/d
2015-12-17,126100144,kWh/d
2015-12-18,126100144,kWh/d
2015-12-19,126100144,kWh/d
2015-12-20,126100144,kWh/d
2015-12-21,126100144,kWh/d
2015-12-22,126100144,kWh/d
2015-12-23,126100144,kWh/d
2015-12-24,126100144,kWh/d
2015-12-25,126340144,kWh/d
2015-12-26,126100144,kWh/d
2015-12-27,126100144,kWh/d
2015-12-28,126100144,kWh/d
2015-12-29,126100144,kWh/d
2015-12-30,126100144,kWh/d
2015-12-31,126100144,kWh/d
2016-01-01,126100144,kWh/d
2016-01-02,126100144,kWh/d
2016-01-03,126100144,kWh/d
2016-01-04,126100144,kWh/d
2016-01-05,126100144,kWh/d
2016-01-06,126100144,kWh/d
2016-01-07,126100144,kWh/d
2016-01-08,126100144,kWh/d
2016-01-09,126100144,kWh/d
2016-01-10,126100144,kWh/d
2016-01-11,126100144,kWh/d
2016-01-12,126100144,kWh/d
2016-01-13,126100144,kWh/d
2016-01-14,126100144,kWh/d
2016-01-15,126100144,kWh/d
2016-01-16,126100144,kWh/d
2016-01-17,126100144,kWh/d
2016-01-18,126100144,kWh/d
2016-01-19,126100144,kWh/d
2016-01-20,126100144,kWh/d
2016-01-21,126100144,kWh/d
2016-01-22,126100144,kWh/d
2016-01-23,126100144,kWh/d
2016-01-24,126100144,kWh/d
2016-01-25,126100144,kWh/d
2016-01-26,126100144,kWh/d
2016-01-27,126100144,kWh/d
2016-01-28,126100144,kWh/d
2016-01-29,126100144,kWh/d
2016-01-30,126100144,kWh/d
2016-01-31,126100144,kWh/d
2016-02-01,126100144,kWh/d
2016-02-02,126100144,kWh/d
2016-02-03,126100144,kWh/d
2016-02-04,126124136,kWh/d
2016-02-05,126100144,kWh/d
2016-02-06,126100144,kWh/d
2016-02-07,126100144,kWh/d
2016-02-08,126100144,kWh/d
2016-02-09,126100144,kWh/d
2016-02-10,126100144,kWh/d
2016-02-11,126100144,kWh/d
2016-02-12,126100144,kWh/d
2016-02-13,126100144,kWh/d
2016-02-14,126100144,kWh/d
2016-02-15,126100144,kWh/d
2016-02-16,126100144,kWh/d
2016-02-17,126100144,kWh/d
2016-02-18,126100144,kWh/d
2016-02-19,126100144,kWh/d
2016-02-20,126100144,kWh/d
2016-02-21,126100144,kWh/d
2016-02-22,126100144,kWh/d
2016-02-23,126100144,kWh/d
2016-02-24,126100144,kWh/d
2016-02-25,126100144,kWh/d
2016-02-26,126100144,kWh/d
2016-02-27,126100144,kWh/d
2016-02-28,126100144,kWh/d
2016-02-29,126100144,kWh/d
2016-03-01,126100144,kWh/d
2016-03-02,126100144,kWh/d
2016-03-03,126100144,kWh/d
2016-03-04,126100144,kWh/d
2016-03-05,126100144,kWh/d
2016-03-06,126100144,kWh/d
2016-03-07,126100144,kWh/d
2016-03-08,126100144,kWh/d
2016-03-09,126100144,kWh/d
2016-03-10,126100144,kWh/d
2016-03-11,126100144,kWh/d
2016-03-12,126100144,kWh/d
2016-03-13,126100144,kWh/d
2016-03-14,126100144,kWh/d
2016-03-15,126100144,kWh/d
2016-03-16,126100144,kWh/d
2016-03-17,126100144,kWh/d
2016-03-18,126100144,kWh/d
2016-03-19,126100144,kWh/d
2016-03-20,126100144,kWh/d
2016-03-21,126100144,kWh/d
2016-03-22,126100144,kWh/d
2016-03-23,126100144,kWh/d
2016-03-24,126100144,kWh/d
2016-03-25,126100144,kWh/d
2016-03-26,126100144,kWh/d
2016-03-27,126100144,kWh/d
2016-03-28,126100144,kWh/d
2016-03-29,126100144,kWh/d
2016-03-30,126100144,kWh/d
2016-03-31,126100144,kWh/d
2016-04-01,126100144,kWh/d
2016-04-02,126100144,kWh/d
2016-04-03,126100144,kWh/d
2016-04-04,126100144,kWh/d
2016-04-05,126100144,kWh/d
2016-04-06,126100144,kWh/d
2016-04-07,126100144,kWh/d
2016-04-08,126100144,kWh/d
2016-04-09,126100144,kWh/d
2016-04-10,126100144,kWh/d
2016-04-11,126100144,kWh/d
2016-04-12,126100144,kWh/d
2016-04-13,126100144,kWh/d
2016-04-14,126100144,kWh/d
2016-04-15,126100144,kWh/d
2016-04-16,126100144,kWh/d
2016-04-17,126100144,kWh/d
2016-04-18,126100144,kWh/d
2016-04-19,126100144,kWh/d
2016-04-20,126100144,kWh/d
2016-04-21,126100144,kWh/d
2016-04-22,126100144,kWh/d
2016-04-23,126100144,kWh/d
2016-04-24,126100144,kWh/d
2016-04-25,126100144,kWh/d
2016-04-26,126100144,kWh/d
2016-04-27,126100144,kWh/d
2016-04-28,126100144,kWh/d
2016-04-29,126100144,kWh/d
2016-04-30,126100144,kWh/d
2016-05-01,126100144,kWh/d
2016-05-02,126100144,kWh/d
2016-05-03,126100144,kWh/d
2016-05-04,126100144,kWh/d
2016-05-05,126100144,kWh/d
2016-05-06,126100144,kWh/d
2016-05-07,126100144,kWh/d
2016-05-08,126100144,kWh/d
2016-05-09,126100144,kWh/d
2016-05-10,126100144,kWh/d
2016-05-11,126100144,kWh/d
2016-05-12,126100144,kWh/d
2016-05-13,126100144,kWh/d
2016-05-14,126100144,kWh/d
2016-05-15,126100144,kWh/d
2016-05-16,126100144,kWh/d
2016-05-17,126100144,kWh/d
2016-05-18,126100144,kWh/d
2016-05-19,126100144,kWh/d
2016-05-20,126750144,kWh/d
2016-05-21,126100144,kWh/d
2016-05-22,126100144,kWh/d
2016-05-23,126100144,kWh/d
2016-05-24,126100144,kWh/d
2016-05-25,126100144,kWh/d
2016-05-26,126100144,kWh/d
2016-05-27,126100144,kWh/d
2016-05-28,126100144,kWh/d
2016-05-29,126100144,kWh/d
2016-05-30,126100144,kWh/d
2016-05-31,126100144,kWh/d
2016-06-01,126100144,kWh/d
2016-06-02,126100144,kWh/d
2016-06-03,126100144,kWh/d
2016-06-04,126100144,kWh/d
2016-06-05,126100144,kWh/d
2016-06-06,126100144,kWh/d
2016-06-07,126100144,kWh/d
2016-06-08,126100144,kWh/d
2016-06-09,126100144,kWh/d
2016-06-10,126100144,kWh/d
2016-06-11,126100144,kWh/d
2016-06-12,126100144,kWh/d
2016-06-13,126100144,kWh/d
2016-06-14,126100144,kWh/d
2016-06-15,126100144,kWh/d
2016-06-16,126100144,kWh/d
2016-06-17,126100144,kWh/d
2016-06-18,126100144,kWh/d
2016-06-19,126100144,kWh/d
2016-06-20,126100144,kWh/d
2016-06-21,126100144,kWh/d
2016-06-22,126100144,kWh/d
2016-06-23,126100144,kWh/d
2016-06-24,126100144,kWh/d
2016-06-25,126100144,kWh/d
2016-06-26,126100144,kWh/d
2016-06-27,126100144,kWh/d
2016-06-28,126100144,kWh/d
2016-06-29,126100144,kWh/d
2016-06-30,126100144,kWh/d
2016-07-01,126100144,kWh/d
2016-07-02,126100144,kWh/d
2016-07-03,126100144,kWh/d
2016-07-04,126100144,kWh/d
2016-07-05,126100144,kWh/d
2016-07-06,126100144,kWh/d
2016-07-07,126100144,kWh/d
2016-07-08,126100144,kWh/d
2016-07-09,126100144,kWh/d
2016-07-10,126100144,kWh/d
2016-07-11,126100144,kWh/d
2016-07-12,126100144,kWh/d
2016-07-13,126100144,kWh/d
2016-07-14,126100144,kWh/d
2016-07-15,126100144,kWh/d
2016-07-16,126100144,kWh/d
2016-07-17,126100144,kWh/d
2016-07-18,126100144,kWh/d
2016-07-19,126100144,kWh/d
2016-07-20,126100144,kWh/d
2016-07-21,126100144,kWh/d
2016-07-22,126100144,kWh/d
2016-07-23,126100144,kWh/d
2016-07-24,126100144,kWh/d
2016-07-25,126100144,kWh/d
2016-07-26,126100144,kWh/d
2016-07-27,126100144,kWh/d
2016-07-28,126100144,kWh/d
2016-07-29,126100144,kWh/d
2016-07-30,126100144,kWh/d
2016-07-31,126100144,kWh/d
2016-08-01,126100144,kWh/d
2016-08-02,126100144,kWh/d
2016-08-03,126100144,kWh/d
2016-08-04,126100144,kWh/d
2016-08-05,126100144,kWh/d
2016-08-06,126100144,kWh/d
2016-08-07,126100144,kWh/d
2016-08-08,126100144,kWh/d
2016-08-09,126100144,kWh/d
2016-08-10,126100144,kWh/d
2016-08-11,126100144,kWh/d
2016-08-12,126100144,kWh/d
2016-08-13,126100144,kWh/d
2016-08-14,126100144,kWh/d
2016-08-15,126100144,kWh/d
2016-08-16,126100144,kWh/d
2016-08-17,126100144,kWh/d
2016-08-18,126100144,kWh/d
2016-08-19,126100144,kWh/d
2016-08-20,126100144,kWh/d
2016-08-21,126100144,kWh/d
2016-08-22,126100144,kWh/d
2016-08-23,126100144,kWh/d
2016-08-24,126100144,kWh/d
2016-08-25,126100144,kWh/d
2016-08-26,126100144,kWh/d
2016-08-27,126100144,kWh/d
2016-08-28,126100144,kWh/d
2016-08-29,126100144,kWh/d
2016-08-30,126100144,kWh/d
2016-08-31,126100144,kWh/d
2016-09-01,126100164,kWh/d
2016-09-02,126100164,kWh/d
2016-09-03,126100164,kWh/d
2016-09-04,126100164,kWh/d
2016-09-05,126100164,kWh/d
2016-09-06,126100164,kWh/d
2016-09-07,126100164,kWh/d
2016-09-08,126100164,kWh/d
2016-09-09,126100164,kWh/d
2016-09-10,126100164,kWh/d
2016-09-11,126100164,kWh/d
2016-09-12,126100164,kWh/d
2016-09-13,126100164,kWh/d
2016-09-14,126100164,kWh/d
