Date,Product,TradeDate,LastPriceDaily [EUR/MWh],DailyTradingVolume [MWh/d]
2015-12-17,DA,2015-12-16,19.55,50.0
2015-12-19,DA,2015-12-18,19.4,50.0
2015-12-30,DA,2015-12-29,19.25,1100.0
2016-01-06,DA,2016-01-05,19.0,500.0
2016-01-08,DA,2016-01-07,18.75,81.0
2016-01-13,DA,2016-01-12,18.5,10.0
2016-01-15,DA,2016-01-14,17.69,2900.0
2016-01-16,DA,2016-01-15,17.52,2935.0
2016-01-17,DA,2016-01-16,17.49,2900.0
2016-01-18,DA,2016-01-17,17.38,2900.0
2016-01-19,DA,2016-01-18,16.8,3200.0
2016-01-20,DA,2016-01-19,17.69,3000.0
2016-01-21,DA,2016-01-20,17.4,2700.0
2016-01-22,DA,2016-01-21,16.94,2500.0
2016-01-23,DA,2016-01-22,16.9,3200.0
2016-01-24,DA,2016-01-23,16.62,3000.0
2016-01-25,DA,2016-01-24,16.79,2500.0
2016-01-26,DA,2016-01-25,16.76,2500.0
2016-01-27,DA,2016-01-26,16.79,3000.0
2016-01-28,DA,2016-01-27,16.98,3100.0
2016-01-29,DA,2016-01-28,16.98,3100.0
2016-01-30,DA,2016-01-29,16.97,3300.0
2016-01-31,DA,2016-01-30,16.83,3300.0
2016-02-01,DA,2016-01-31,16.93,3300.0
2016-02-02,DA,2016-02-01,16.93,3313.0
2016-02-03,DA,2016-02-02,16.93,3100.0
2016-02-04,DA,2016-02-03,16.6,3229.0
2016-02-05,DA,2016-02-04,16.89,2530.0
2016-02-06,DA,2016-02-05,16.19,2230.0
2016-02-07,DA,2016-02-06,16.0,2130.0
2016-02-08,DA,2016-02-07,16.24,2130.0
2016-02-09,DA,2016-02-08,16.55,2430.0
2016-02-10,DA,2016-02-09,16.73,2130.0
2016-02-11,DA,2016-02-10,16.4,5630.0
2016-02-12,DA,2016-02-11,16.0,6000.0
2016-02-13,DA,2016-02-12,15.98,2200.0
2016-02-14,DA,2016-02-13,15.97,2301.0
2016-02-15,DA,2016-02-14,16.62,2200.0
2016-02-16,DA,2016-02-15,16.15,2300.0
2016-02-17,DA,2016-02-16,16.14,2300.0
2016-02-18,DA,2016-02-17,16.2,3300.0
2016-02-19,DA,2016-02-18,16.35,2400.0
2016-02-20,DA,2016-02-19,16.04,2000.0
2016-02-21,DA,2016-02-20,16.04,1800.0
2016-02-22,DA,2016-02-21,16.24,1500.0
2016-02-23,DA,2016-02-22,16.29,2000.0
2016-02-24,DA,2016-02-23,16.18,2500.0
2016-02-25,DA,2016-02-24,16.21,3869.0
2016-02-26,DA,2016-02-25,16.2,2649.0
2016-02-27,DA,2016-02-26,16.18,1823.0
2016-02-28,DA,2016-02-27,16.04,1823.0
2016-02-29,DA,2016-02-28,16.2,2123.0
2016-03-01,DA,2016-02-29,16.24,2100.0
2016-03-02,DA,2016-03-01,16.0,2350.0
2016-03-03,DA,2016-03-02,16.1,2150.0
2016-03-04,DA,2016-03-03,15.7,3000.0
2016-03-05,DA,2016-03-04,15.5,4970.0
2016-03-06,DA,2016-03-05,16.4,2668.0
2016-03-07,DA,2016-03-06,16.38,2668.0
2016-03-08,DA,2016-03-07,16.04,1600.0
2016-03-09,DA,2016-03-08,15.75,3100.0
2016-03-10,DA,2016-03-09,16.15,3500.0
2016-03-11,DA,2016-03-10,16.1,2000.0
2016-03-12,DA,2016-03-11,16.1,1562.0
2016-03-13,DA,2016-03-12,16.15,1482.0
2016-03-14,DA,2016-03-13,16.35,1712.0
2016-03-15,DA,2016-03-14,16.05,2942.0
2016-03-16,DA,2016-03-15,16.15,3200.0
2016-03-17,DA,2016-03-16,16.15,2700.0
2016-03-18,DA,2016-03-17,16.0,2900.0
2016-03-19,DA,2016-03-18,16.05,2176.0
2016-03-20,DA,2016-03-19,15.94,1356.0
2016-03-21,DA,2016-03-20,16.14,2356.0
2016-03-22,DA,2016-03-21,15.94,2556.0
2016-03-23,DA,2016-03-22,15.83,2100.0
2016-03-24,DA,2016-03-23,15.6,2082.0
2016-03-25,DA,2016-03-24,15.69,1432.0
2016-03-26,DA,2016-03-25,15.54,1432.0
2016-03-27,DA,2016-03-26,15.52,1432.0
2016-03-28,DA,2016-03-27,15.39,1432.0
2016-03-29,DA,2016-03-28,15.0,1800.0
2016-03-30,DA,2016-03-29,14.99,1400.0
2016-03-31,DA,2016-03-30,14.89,1425.0
2016-04-01,DA,2016-03-31,14.5,1150.0
2016-04-02,DA,2016-04-01,13.85,2500.0
2016-04-03,DA,2016-04-02,13.5,3300.0
2016-04-04,DA,2016-04-03,13.73,1800.0
2016-04-05,DA,2016-04-04,13.64,1800.0
2016-04-06,DA,2016-04-05,13.5,3500.0
2016-04-07,DA,2016-04-06,13.55,3500.0
2016-04-08,DA,2016-04-07,13.49,3500.0
2016-04-09,DA,2016-04-08,13.24,1530.0
2016-04-10,DA,2016-04-09,13.1,1500.0
2016-04-11,DA,2016-04-10,13.0,1800.0
2016-04-12,DA,2016-04-11,13.25,3050.0
2016-04-13,DA,2016-04-12,13.04,2400.0
2016-04-14,DA,2016-04-13,13.3,2585.0
2016-04-15,DA,2016-04-14,13.04,2000.0
2016-04-16,DA,2016-04-15,12.88,1530.0
2016-04-17,DA,2016-04-16,12.74,1500.0
2016-04-18,DA,2016-04-17,12.78,2000.0
2016-04-19,DA,2016-04-18,12.0,1740.0
2016-04-20,DA,2016-04-19,12.85,1300.0
2016-04-21,DA,2016-04-20,12.9,1506.0
2016-04-22,DA,2016-04-21,13.5,3109.0
2016-04-23,DA,2016-04-22,13.9,1461.0
2016-04-24,DA,2016-04-23,13.45,436.0
2016-04-25,DA,2016-04-24,13.65,950.0
2016-04-26,DA,2016-04-25,13.65,4390.0
2016-04-27,DA,2016-04-26,14.5,2350.0
2016-04-28,DA,2016-04-27,15.05,3340.0
2016-04-29,DA,2016-04-28,14.5,1422.0
2016-04-30,DA,2016-04-29,13.6,1800.0
2016-05-01,DA,2016-04-30,13.7,1300.0
2016-05-02,DA,2016-05-01,13.8,1345.0
2016-05-03,DA,2016-05-02,13.79,1305.0
2016-05-04,DA,2016-05-03,13.5,1398.0
2016-05-05,DA,2016-05-04,12.72,1737.0
2016-05-06,DA,2016-05-05,12.65,3035.0
2016-05-07,DA,2016-05-06,12.39,4382.0
2016-05-08,DA,2016-05-07,13.2,1800.0
2016-05-09,DA,2016-05-08,12.5,2232.0
2016-05-10,DA,2016-05-09,12.9,3226.0
2016-05-11,DA,2016-05-10,12.7,2190.0
2016-05-12,DA,2016-05-11,13.45,3345.0
2016-05-13,DA,2016-05-12,13.25,1440.0
2016-05-14,DA,2016-05-13,13.3,6056.0
2016-05-15,DA,2016-05-14,12.74,500.0
2016-05-16,DA,2016-05-15,12.7,1000.0
2016-05-17,DA,2016-05-16,12.7,1160.0
2016-05-18,DA,2016-05-17,13.25,1790.0
2016-05-19,DA,2016-05-18,13.25,1340.0
2016-05-20,DA,2016-05-19,13.5,5006.0
2016-05-21,DA,2016-05-20,13.2,5470.0
2016-05-22,DA,2016-05-21,13.6,1000.0
2016-05-23,DA,2016-05-22,13.74,1000.0
2016-05-24,DA,2016-05-23,13.49,3240.0
2016-05-25,DA,2016-05-24,13.65,3240.0
2016-05-26,DA,2016-05-25,13.8,2240.0
2016-05-27,DA,2016-05-26,13.75,3106.0
2016-05-28,DA,2016-05-27,14.7,2641.0
2016-05-29,DA,2016-05-28,14.2,1000.0
2016-05-30,DA,2016-05-29,13.95,1000.0
2016-05-31,DA,2016-05-30,14.05,3237.0
2016-06-01,DA,2016-05-31,14.27,2002.0
2016-06-02,DA,2016-06-01,14.25,1307.0
2016-06-03,DA,2016-06-02,14.05,1246.0
2016-06-04,DA,2016-06-03,14.25,2010.0
2016-06-05,DA,2016-06-04,14.25,1500.0
2016-06-06,DA,2016-06-05,14.3,800.0
2016-06-07,DA,2016-06-06,14.75,2591.0
2016-06-08,DA,2016-06-07,14.8,2241.0
2016-06-09,DA,2016-06-08,14.75,3508.0
2016-06-10,DA,2016-06-09,14.53,2008.0
2016-06-11,DA,2016-06-10,15.05,2500.0
2016-06-12,DA,2016-06-11,15.22,3500.0
2016-06-13,DA,2016-06-12,14.55,3000.0
2016-06-14,DA,2016-06-13,14.46,3008.0
2016-06-15,DA,2016-06-14,13.5,3036.0
2016-06-16,DA,2016-06-15,14.05,4007.0
2016-06-17,DA,2016-06-16,13.89,3506.0
2016-06-18,DA,2016-06-17,14.1,3507.0
2016-06-19,DA,2016-06-18,15.0,3500.0
2016-06-20,DA,2016-06-19,14.9,3000.0
2016-06-21,DA,2016-06-20,14.76,5240.0
2016-06-22,DA,2016-06-21,15.12,9598.0
2016-06-23,DA,2016-06-22,15.04,6740.0
2016-06-24,DA,2016-06-23,15.04,5240.0
2016-06-25,DA,2016-06-24,14.9,28517.0
2016-06-26,DA,2016-06-25,15.35,13080.0
2016-06-27,DA,2016-06-26,15.35,13240.0
2016-06-28,DA,2016-06-27,15.0,35740.0
2016-06-29,DA,2016-06-28,14.9,23224.0
2016-06-30,DA,2016-06-29,15.1,19164.0
2016-07-01,DA,2016-06-30,15.28,16740.0
2016-07-02,DA,2016-07-01,14.5,12742.0
2016-07-03,DA,2016-07-02,15.24,7904.0
2016-07-04,DA,2016-07-03,15.21,12858.0
2016-07-05,DA,2016-07-04,15.03,15050.0
2016-07-06,DA,2016-07-05,14.93,7073.0
2016-07-07,DA,2016-07-06,14.8,7046.0
2016-07-08,DA,2016-07-07,14.85,4082.0
2016-07-09,DA,2016-07-08,14.93,8318.0
2016-07-10,DA,2016-07-09,14.79,1096.0
2016-07-11,DA,2016-07-10,14.94,2240.0
2016-07-12,DA,2016-07-11,14.6,10771.0
2016-07-13,DA,2016-07-12,14.9,11892.0
2016-07-14,DA,2016-07-13,14.85,6224.0
2016-07-15,DA,2016-07-14,15.55,7241.0
2016-07-16,DA,2016-07-15,14.35,5012.0
2016-07-17,DA,2016-07-16,15.15,1868.0
2016-07-18,DA,2016-07-17,15.3,7286.0
2016-07-19,DA,2016-07-18,15.01,12992.0
2016-07-20,DA,2016-07-19,15.13,6748.0
2016-07-21,DA,2016-07-20,15.38,8848.0
2016-07-22,DA,2016-07-21,15.2,9500.0
2016-07-23,DA,2016-07-22,15.75,8500.0
2016-07-24,DA,2016-07-23,16.1,2096.0
2016-07-25,DA,2016-07-24,16.26,4500.0
2016-07-26,DA,2016-07-25,16.42,10500.0
2016-07-27,DA,2016-07-26,16.42,14000.0
2016-07-28,DA,2016-07-27,16.1,10424.0
2016-07-29,DA,2016-07-28,16.1,7964.0
2016-07-30,DA,2016-07-29,15.7,8500.0
2016-07-31,DA,2016-07-30,16.0,4846.0
2016-08-01,DA,2016-07-31,16.16,5000.0
2016-08-02,DA,2016-08-01,15.5,10995.0
2016-08-03,DA,2016-08-02,15.6,7477.0
2016-08-04,DA,2016-08-03,15.85,7530.0
2016-08-05,DA,2016-08-04,15.6,7425.0
2016-08-06,DA,2016-08-05,15.7,9035.0
2016-08-07,DA,2016-08-06,15.6,3380.0
2016-08-08,DA,2016-08-07,15.76,9400.0
2016-08-09,DA,2016-08-08,15.1,5832.0
2016-08-10,DA,2016-08-09,15.1,5770.0
2016-08-11,DA,2016-08-10,15.1,9002.0
2016-08-12,DA,2016-08-11,15.2,4339.0
2016-08-13,DA,2016-08-12,15.3,2916.0
2016-08-14,DA,2016-08-13,15.4,2128.0
2016-08-15,DA,2016-08-14,15.71,5550.0
2016-08-16,DA,2016-08-15,15.87,13870.0
2016-08-17,DA,2016-08-16,15.45,13303.0
2016-08-18,DA,2016-08-17,15.4,5040.0
2016-08-19,DA,2016-08-18,15.66,7830.0
2016-08-20,DA,2016-08-19,15.9,3620.0
2016-08-21,DA,2016-08-20,15.82,7000.0
2016-08-22,DA,2016-08-21,15.82,3250.0
2016-08-23,DA,2016-08-22,15.85,2604.0
2016-08-24,DA,2016-08-23,15.85,10032.0
2016-08-25,DA,2016-08-24,15.75,11663.0
2016-08-26,DA,2016-08-25,15.8,6502.0
2016-08-27,DA,2016-08-26,15.9,5763.0
2016-08-28,DA,2016-08-27,15.9,1750.0
2016-08-29,DA,2016-08-28,15.9,9642.0
2016-08-30,DA,2016-08-29,15.85,6000.0
2016-08-31,DA,2016-08-30,16.2,6010.0
2016-09-01,DA,2016-08-31,16.06,6950.0
2016-09-02,DA,2016-09-01,16.3,7710.0
2016-09-03,DA,2016-09-02,16.2,9092.0
2016-09-04,DA,2016-09-03,16.3,7840.0
2016-09-05,DA,2016-09-04,16.59,12751.0
2016-09-06,DA,2016-09-05,16.6,8397.0
2016-09-07,DA,2016-09-06,16.53,5000.0
2016-09-08,DA,2016-09-07,16.56,4000.0
2016-09-09,DA,2016-09-08,16.95,13629.0
2016-09-10,DA,2016-09-09,16.4,10164.0
2016-09-11,DA,2016-09-10,16.8,4370.0
2016-09-12,DA,2016-09-11,16.8,7120.0
2016-09-13,DA,2016-09-12,17.0,15200.0
2016-09-14,DA,2016-09-13,17.27,12700.0
2016-09-15,DA,2016-09-14,17.6,13602.0
2016-09-16,DA,2016-09-15,17.2,18700.0
2016-09-17,DA,2016-09-16,17.0,23817.0
2016-09-18,DA,2016-09-17,16.9,9877.0
2016-09-19,DA,2016-09-18,16.8,3102.0
2016-09-20,DA,2016-09-19,16.6,14425.0
2016-09-21,DA,2016-09-20,16.65,14977.0
2016-09-22,DA,2016-09-21,16.77,3752.0
2016-09-23,DA,2016-09-22,16.7,14254.0
2016-09-24,DA,2016-09-23,16.9,17172.0
2016-09-25,DA,2016-09-24,16.8,7178.0
2016-09-26,DA,2016-09-25,16.8,7178.0
2016-09-27,DA,2016-09-26,16.95,15178.0
2016-09-28,DA,2016-09-27,16.75,4700.0
2016-09-29,DA,2016-09-28,16.81,18375.0
2016-09-30,DA,2016-09-29,16.9,17733.0
2016-10-01,DA,2016-09-30,16.83,8248.0
2016-10-02,DA,2016-10-01,17.5,4819.0
2016-10-03,DA,2016-10-02,16.73,2451.0
2016-10-04,DA,2016-10-03,16.95,8024.0
2016-10-05,DA,2016-10-04,17.05,10260.0
2016-10-06,DA,2016-10-05,17.55,2770.0
2016-10-07,DA,2016-10-06,18.2,19750.0
2016-10-08,DA,2016-10-07,20.1,58728.0
2016-10-09,DA,2016-10-08,18.0,3876.0
2016-10-10,DA,2016-10-09,19.8,8200.0
2016-10-11,DA,2016-10-10,18.8,9524.0
2016-10-12,DA,2016-10-11,17.5,15383.0
2016-10-13,DA,2016-10-12,18.4,21151.0
2016-10-14,DA,2016-10-13,18.8,16600.0
2016-10-15,DA,2016-10-14,17.9,4433.0
2016-10-16,DA,2016-10-15,17.4,6503.0
2016-10-17,DA,2016-10-16,19.3,2500.0
2016-10-18,DA,2016-10-17,19.35,15524.0
2016-10-19,DA,2016-10-18,20.0,21524.0
2016-10-20,DA,2016-10-19,21.15,10844.0
2016-10-21,DA,2016-10-20,21.6,22574.0
2016-10-22,DA,2016-10-21,18.0,8229.0
2016-10-23,DA,2016-10-22,18.9,4195.0
2016-10-24,DA,2016-10-23,21.7,2500.0
2016-10-25,DA,2016-10-24,21.72,43009.0
2016-10-26,DA,2016-10-25,21.8,81524.0
2016-10-27,DA,2016-10-26,21.85,9174.0
2016-10-28,DA,2016-10-27,21.5,11213.0
2016-10-29,DA,2016-10-28,20.0,7878.0
2016-10-30,DA,2016-10-29,20.2,2765.0
2016-10-31,DA,2016-10-30,21.15,2000.0
2016-11-01,DA,2016-10-31,19.2,4216.0
2016-11-02,DA,2016-11-01,21.0,7718.0
2016-11-03,DA,2016-11-02,21.85,7134.0
2016-11-04,DA,2016-11-03,21.5,10725.0
2016-11-05,DA,2016-11-04,19.6,10811.0
2016-11-06,DA,2016-11-05,20.8,1500.0
2016-11-07,DA,2016-11-06,21.25,1500.0
2016-11-08,DA,2016-11-07,21.35,24610.0
2016-11-09,DA,2016-11-08,21.7,42170.0
2016-11-10,DA,2016-11-09,22.0,8577.0
2016-11-11,DA,2016-11-10,22.7,21893.0
2016-11-12,DA,2016-11-11,22.4,43660.0
2016-11-13,DA,2016-11-12,20.7,3500.0
2016-11-14,DA,2016-11-13,21.8,3500.0
2016-11-15,DA,2016-11-14,22.0,7984.0
2016-11-16,DA,2016-11-15,22.2,12885.0
2016-11-17,DA,2016-11-16,22.7,7929.0
2016-11-18,DA,2016-11-17,22.9,15893.0
2016-11-19,DA,2016-11-18,22.0,27684.0
2016-11-20,DA,2016-11-19,19.7,3500.0
2016-11-21,DA,2016-11-20,23.2,2500.0
2016-11-22,DA,2016-11-21,22.75,8288.0
2016-11-23,DA,2016-11-22,22.82,23450.0
2016-11-24,DA,2016-11-23,22.95,7557.0
2016-11-25,DA,2016-11-24,22.9,5200.0
2016-11-26,DA,2016-11-25,19.9,24868.0
2016-11-27,DA,2016-11-26,21.0,3400.0
2016-11-28,DA,2016-11-27,23.68,3000.0
2016-11-29,DA,2016-11-28,23.35,40604.0
2016-11-30,DA,2016-11-29,23.35,15436.0
2016-12-01,DA,2016-11-30,23.15,5635.0
2016-12-02,DA,2016-12-01,23.45,8515.0
2016-12-03,DA,2016-12-02,21.6,15415.0
2016-12-04,DA,2016-12-03,23.6,20185.0
2016-12-05,DA,2016-12-04,23.2,12000.0
2016-12-06,DA,2016-12-05,23.9,30707.0
2016-12-07,DA,2016-12-06,23.0,8084.0
2016-12-08,DA,2016-12-07,22.6,6674.0
2016-12-09,DA,2016-12-08,22.6,5200.0
2016-12-10,DA,2016-12-09,22.11,12903.0
2016-12-11,DA,2016-12-10,22.0,2992.0
2016-12-12,DA,2016-12-11,23.15,2000.0
2016-12-13,DA,2016-12-12,23.87,13434.0
2016-12-14,DA,2016-12-13,26.5,26434.0
2016-12-15,DA,2016-12-14,25.25,49034.0
2016-12-16,DA,2016-12-15,26.0,37088.0
2016-12-17,DA,2016-12-16,24.6,12870.0
2016-12-18,DA,2016-12-17,25.8,4510.0
2016-12-19,DA,2016-12-18,25.49,5000.0
2016-12-20,DA,2016-12-19,25.29,4000.0
2016-12-21,DA,2016-12-20,26.2,3509.0
2016-12-22,DA,2016-12-21,26.6,22700.0
2016-12-23,DA,2016-12-22,26.5,13200.0
2016-12-24,DA,2016-12-23,25.5,6710.0
2016-12-25,DA,2016-12-24,25.6,3000.0
2016-12-26,DA,2016-12-25,25.4,2500.0
2016-12-27,DA,2016-12-26,17.0,53500.0
2016-12-28,DA,2016-12-27,24.25,24500.0
2016-12-29,DA,2016-12-28,24.25,6000.0
2016-12-30,DA,2016-12-29,24.8,10300.0
2016-12-31,DA,2016-12-30,24.75,16083.0
2017-01-01,DA,2016-12-31,24.5,2800.0
2017-01-02,DA,2017-01-01,29.0,8000.0
2017-01-03,DA,2017-01-02,28.5,4000.0
2017-01-04,DA,2017-01-03,29.0,24719.0
2017-01-05,DA,2017-01-04,29.4,10355.0
2017-01-06,DA,2017-01-05,30.2,8464.0
2017-01-07,DA,2017-01-06,32.45,6735.0
2017-01-08,DA,2017-01-07,33.45,3005.0
2017-01-09,DA,2017-01-08,39.5,9700.0
2017-01-10,DA,2017-01-09,39.5,16507.0
2017-01-11,DA,2017-01-10,40.5,27527.0
2017-01-12,DA,2017-01-11,41.99,28040.0
2017-01-13,DA,2017-01-12,41.85,20580.0
2017-01-14,DA,2017-01-13,38.0,18180.0
2017-01-15,DA,2017-01-14,36.0,4850.0
2017-01-16,DA,2017-01-15,39.5,4704.0
2017-01-17,DA,2017-01-16,38.5,20331.0
2017-01-18,DA,2017-01-17,38.95,9004.0
2017-01-19,DA,2017-01-18,35.75,34709.0
2017-01-20,DA,2017-01-19,36.0,93410.0
2017-01-21,DA,2017-01-20,37.1,37321.0
2017-01-22,DA,2017-01-21,38.75,6000.0
2017-01-23,DA,2017-01-22,43.0,3500.0
2017-01-24,DA,2017-01-23,40.0,30050.0
2017-01-25,DA,2017-01-24,40.61,22100.0
2017-01-26,DA,2017-01-25,41.55,34000.0
2017-01-27,DA,2017-01-26,41.3,42000.0
2017-01-28,DA,2017-01-27,34.5,19784.0
2017-01-29,DA,2017-01-28,35.0,3850.0
2017-01-30,DA,2017-01-29,36.0,9815.0
2017-01-31,DA,2017-01-30,35.5,9300.0
2017-02-01,DA,2017-01-31,31.0,12840.0
2017-02-02,DA,2017-02-01,26.4,12541.0
2017-02-03,DA,2017-02-02,25.5,10280.0
2017-02-04,DA,2017-02-03,25.4,14046.0
2017-02-05,DA,2017-02-04,25.5,3101.0
2017-02-06,DA,2017-02-05,28.7,6900.0
2017-02-07,DA,2017-02-06,25.8,13565.0
2017-02-08,DA,2017-02-07,25.6,4110.0
2017-02-09,DA,2017-02-08,25.45,14585.0
2017-02-10,DA,2017-02-09,23.8,12777.0
2017-02-11,DA,2017-02-10,20.55,12926.0
2017-02-12,DA,2017-02-11,22.0,5900.0
2017-02-13,DA,2017-02-12,22.55,6400.0
2017-02-14,DA,2017-02-13,19.9,11075.0
2017-02-15,DA,2017-02-14,19.7,7029.0
2017-02-16,DA,2017-02-15,19.85,4490.0
2017-02-17,DA,2017-02-16,19.55,9898.0
2017-02-18,DA,2017-02-17,18.7,7298.0
2017-02-19,DA,2017-02-18,19.5,5546.0
2017-02-20,DA,2017-02-19,19.7,2101.0
2017-02-21,DA,2017-02-20,19.05,12481.0
2017-02-22,DA,2017-02-21,18.5,14340.0
2017-02-23,DA,2017-02-22,18.4,10466.0
2017-02-24,DA,2017-02-23,18.4,19237.0
2017-02-25,DA,2017-02-24,18.2,10608.0
2017-02-26,DA,2017-02-25,18.25,3801.0
2017-02-27,DA,2017-02-26,18.4,2101.0
2017-02-28,DA,2017-02-27,17.85,7910.0
2017-03-01,DA,2017-02-28,17.7,6112.0
2017-03-02,DA,2017-03-01,17.75,7770.0
2017-03-03,DA,2017-03-02,17.45,7810.0
2017-03-04,DA,2017-03-03,16.3,9375.0
2017-03-05,DA,2017-03-04,17.3,2301.0
2017-03-06,DA,2017-03-05,17.4,2301.0
2017-03-07,DA,2017-03-06,16.9,4472.0
2017-03-08,DA,2017-03-07,16.8,6206.0
2017-03-09,DA,2017-03-08,16.3,6728.0
2017-03-10,DA,2017-03-09,16.35,14854.0
2017-03-11,DA,2017-03-10,15.95,21874.0
2017-03-12,DA,2017-03-11,15.7,19600.0
2017-03-13,DA,2017-03-12,15.7,17400.0
2017-03-14,DA,2017-03-13,16.15,11695.0
2017-03-15,DA,2017-03-14,16.3,13257.0
2017-03-16,DA,2017-03-15,16.7,17953.0
2017-03-17,DA,2017-03-16,16.35,15700.0
2017-03-18,DA,2017-03-17,16.15,13055.0
2017-03-19,DA,2017-03-18,16.68,800.0
2017-03-20,DA,2017-03-19,18.5,750.0
2017-03-21,DA,2017-03-20,16.75,3620.0
2017-03-22,DA,2017-03-21,16.51,7411.0
2017-03-23,DA,2017-03-22,16.5,7340.0
2017-03-24,DA,2017-03-23,17.0,7950.0
2017-03-25,DA,2017-03-24,16.5,15014.0
2017-03-26,DA,2017-03-25,17.65,14503.0
2017-03-27,DA,2017-03-26,19.0,37500.0
2017-03-28,DA,2017-03-27,16.75,12800.0
2017-03-29,DA,2017-03-28,16.8,9491.0
2017-03-30,DA,2017-03-29,16.55,10850.0
2017-03-31,DA,2017-03-30,16.31,12940.0
2017-04-01,DA,2017-03-31,17.0,8712.0
2017-04-02,DA,2017-04-01,18.25,2000.0
2017-04-03,DA,2017-04-02,18.11,2504.0
2017-04-04,DA,2017-04-03,18.15,3734.0
2017-04-05,DA,2017-04-04,18.1,4054.0
2017-04-06,DA,2017-04-05,18.05,4476.0
2017-04-07,DA,2017-04-06,18.01,5327.0
2017-04-08,DA,2017-04-07,18.15,6071.0
2017-04-09,DA,2017-04-08,18.3,1810.0
2017-04-10,DA,2017-04-09,18.3,1300.0
2017-04-11,DA,2017-04-10,18.1,6850.0
2017-04-12,DA,2017-04-11,17.4,17735.0
2017-04-13,DA,2017-04-12,17.25,4425.0
2017-04-14,DA,2017-04-13,17.2,2100.0
2017-04-15,DA,2017-04-14,17.9,2100.0
2017-04-16,DA,2017-04-15,18.0,350.0
2017-04-18,DA,2017-04-17,18.14,4000.0
2017-04-19,DA,2017-04-18,18.04,7550.0
2017-04-20,DA,2017-04-19,17.75,9168.0
2017-04-21,DA,2017-04-20,17.8,5500.0
2017-04-22,DA,2017-04-21,18.0,5802.0
2017-04-23,DA,2017-04-22,17.9,3200.0
2017-04-24,DA,2017-04-23,18.2,2700.0
2017-04-25,DA,2017-04-24,17.8,2701.0
2017-04-26,DA,2017-04-25,17.6,4554.0
2017-04-27,DA,2017-04-26,17.85,6404.0
2017-04-28,DA,2017-04-27,18.0,5478.0
2017-04-29,DA,2017-04-28,18.25,5905.0
2017-04-30,DA,2017-04-29,18.5,300.0
2017-05-01,DA,2017-04-30,18.5,834.0
2017-05-02,DA,2017-05-01,18.5,300.0
2017-05-03,DA,2017-05-02,18.3,5000.0
2017-05-04,DA,2017-05-03,18.4,8453.0
2017-05-05,DA,2017-05-04,18.7,6538.0
2017-05-06,DA,2017-05-05,17.95,9671.0
2017-05-07,DA,2017-05-06,18.75,1000.0
2017-05-08,DA,2017-05-07,18.75,1319.0
2017-05-09,DA,2017-05-08,18.1,6055.0
