Date,GWh
01-jan-2020,-851.1
02-jan-2020,-978.5
03-jan-2020,-988.6
04-jan-2020,-879.3
05-jan-2020,-870.8
06-jan-2020,-888.1
07-jan-2020,-1117.1
08-jan-2020,-1120.3
09-jan-2020,-1120.7
10-jan-2020,-1106.1
11-jan-2020,-973.1
12-jan-2020,-970.9
13-jan-2020,-1135.3
14-jan-2020,-1139.0
15-jan-2020,-1137.2
16-jan-2020,-1132.3
17-jan-2020,-1112.7
18-jan-2020,-972.8
19-jan-2020,-966.9
20-jan-2020,-1132.3
21-jan-2020,-1133.1
22-jan-2020,-1128.8
23-jan-2020,-1122.9
24-jan-2020,-1103.1
25-jan-2020,-963.6
26-jan-2020,-957.5
27-jan-2020,-1123.1
28-jan-2020,-1124.5
29-jan-2020,-1120.3
30-jan-2020,-1115.1
31-jan-2020,-1096.2